millis,stamp,datetime,temp
999,1497825202,42904.93958,19
1999,1497825203,42904.93958,19
2999,1497825204,42904.93958,19
3999,1497825205,42904.93958,19
4999,1497825206,42904.93958,19
5999,1497825207,42904.93958,19
6999,1497825208,42904.93958,19
8000,1497825209,42904.93958,19
8999,1497825210,42904.93958,19
9999,1497825211,42904.93958,19
10998,1497825212,42904.93958,19
11999,1497825213,42904.93958,19
12999,1497825214,42904.93958,19
14000,1497825215,42904.93958,19
14999,1497825216,42904.93958,19
16000,1497825217,42904.93958,19
16999,1497825218,42904.93958,19
17999,1497825219,42904.93958,19
19000,1497825220,42904.93958,19
19999,1497825221,42904.93958,19
20999,1497825222,42904.93958,19
21999,1497825223,42904.93958,19
23000,1497825224,42904.93958,19
23999,1497825225,42904.93958,19
24998,1497825226,42904.93958,19
25999,1497825227,42904.93958,19
26999,1497825228,42904.93958,19
27999,1497825229,42904.93958,19
28999,1497825230,42904.93958,19
29999,1497825231,42904.93958,19
30999,1497825232,42904.93958,19
32000,1497825233,42904.93958,19
32999,1497825234,42904.93958,19
33999,1497825235,42904.93958,19
35000,1497825236,42904.93958,19
35999,1497825237,42904.93958,19
36999,1497825238,42904.93958,19
37999,1497825239,42904.93958,19
38999,1497825240,42904.94028,19
39999,1497825241,42904.94028,19
41000,1497825242,42904.94028,19
42000,1497825243,42904.94028,19
42999,1497825244,42904.94028,19
43999,1497825245,42904.94028,19
44999,1497825246,42904.94028,19
46000,1497825247,42904.94028,19
46999,1497825248,42904.94028,19
48000,1497825249,42904.94028,18.9
49000,1497825250,42904.94028,18.9
49998,1497825251,42904.94028,19
50999,1497825252,42904.94028,19
51999,1497825253,42904.94028,19
52999,1497825254,42904.94028,19
53999,1497825255,42904.94028,18.9
54999,1497825256,42904.94028,18.9
56000,1497825257,42904.94028,19
56998,1497825258,42904.94028,19
57999,1497825259,42904.94028,19
58999,1497825260,42904.94028,18.9
59999,1497825261,42904.94028,18.9
60999,1497825262,42904.94028,18.9
61999,1497825263,42904.94028,18.9
62999,1497825264,42904.94028,18.9
64000,1497825265,42904.94028,18.9
64999,1497825266,42904.94028,18.9
65999,1497825267,42904.94028,18.9
66999,1497825268,42904.94028,18.9
67998,1497825269,42904.94028,18.9
68999,1497825270,42904.94028,18.9
69998,1497825271,42904.94028,18.9
70999,1497825272,42904.94028,18.9
71999,1497825273,42904.94028,18.9
72998,1497825274,42904.94028,18.9
73999,1497825275,42904.94028,18.9
74999,1497825276,42904.94028,18.9
75999,1497825277,42904.94028,18.9
76999,1497825278,42904.94028,18.9
77999,1497825279,42904.94028,18.9
78999,1497825280,42904.94028,18.9
80000,1497825281,42904.94028,18.8
80999,1497825282,42904.94028,18.8
81998,1497825283,42904.94028,18.8
82999,1497825284,42904.94028,18.8
83998,1497825285,42904.94028,18.8
85000,1497825286,42904.94028,18.8
85998,1497825287,42904.94028,18.8
87000,1497825288,42904.94028,18.8
87999,1497825289,42904.94028,18.8
88999,1497825290,42904.94028,18.8
90000,1497825291,42904.94028,18.8
90999,1497825292,42904.94028,18.8
92000,1497825293,42904.94028,18.8
92999,1497825294,42904.94028,18.8
93999,1497825295,42904.94028,18.8
94999,1497825296,42904.94028,18.8
95998,1497825297,42904.94028,18.8
96999,1497825298,42904.94028,18.8
97999,1497825299,42904.94028,18.8
98999,1497825300,42904.94097,18.8
99999,1497825301,42904.94097,18.7
100999,1497825302,42904.94097,18.7
101999,1497825303,42904.94097,18.7
102999,1497825304,42904.94097,18.7
104000,1497825305,42904.94097,18.7
104998,1497825306,42904.94097,18.7
105999,1497825307,42904.94097,18.7
106998,1497825308,42904.94097,18.7
107999,1497825309,42904.94097,18.7
108999,1497825310,42904.94097,18.7
109999,1497825311,42904.94097,18.7
110999,1497825312,42904.94097,18.7
111998,1497825313,42904.94097,18.7
112999,1497825314,42904.94097,18.7
113999,1497825315,42904.94097,18.7
115000,1497825316,42904.94097,18.7
115999,1497825317,42904.94097,18.7
116999,1497825318,42904.94097,18.7
117999,1497825319,42904.94097,18.7
119000,1497825320,42904.94097,18.7
119999,1497825321,42904.94097,18.7
120998,1497825322,42904.94097,18.7
122000,1497825323,42904.94097,18.6
122999,1497825324,42904.94097,18.6
124000,1497825325,42904.94097,18.6
124998,1497825326,42904.94097,18.7
125999,1497825327,42904.94097,18.7
126999,1497825328,42904.94097,18.7
127998,1497825329,42904.94097,18.7
129000,1497825330,42904.94097,18.7
129999,1497825331,42904.94097,18.7
131000,1497825332,42904.94097,18.6
132000,1497825333,42904.94097,18.6
132999,1497825334,42904.94097,18.6
133999,1497825335,42904.94097,18.6
134999,1497825336,42904.94097,18.6
135999,1497825337,42904.94097,18.6
136998,1497825338,42904.94097,18.6
138000,1497825339,42904.94097,18.6
138999,1497825340,42904.94097,18.6
139999,1497825341,42904.94097,18.6
140999,1497825342,42904.94097,18.6
142000,1497825343,42904.94097,18.6
142999,1497825344,42904.94097,18.6
143998,1497825345,42904.94097,18.6
144999,1497825346,42904.94097,18.6
145999,1497825347,42904.94097,18.6
147000,1497825348,42904.94097,18.6
148000,1497825349,42904.94097,18.6
148999,1497825350,42904.94097,18.6
149999,1497825351,42904.94097,18.6
150999,1497825352,42904.94097,18.6
152000,1497825353,42904.94097,18.6
152998,1497825354,42904.94097,18.6
153999,1497825355,42904.94097,18.6
154999,1497825356,42904.94097,18.6
156000,1497825357,42904.94097,18.6
156998,1497825358,42904.94097,18.6
158000,1497825359,42904.94097,18.6
158999,1497825360,42904.94167,18.6
159998,1497825361,42904.94167,18.6
160999,1497825362,42904.94167,18.6
161999,1497825363,42904.94167,18.5
162999,1497825364,42904.94167,18.5
163998,1497825365,42904.94167,18.5
165000,1497825366,42904.94167,18.5
165999,1497825367,42904.94167,18.5
166999,1497825368,42904.94167,18.5
167999,1497825369,42904.94167,18.5
168999,1497825370,42904.94167,18.5
169999,1497825371,42904.94167,18.5
170999,1497825372,42904.94167,18.5
171999,1497825373,42904.94167,18.5
172998,1497825374,42904.94167,18.5
174000,1497825375,42904.94167,18.5
174999,1497825376,42904.94167,18.5
175998,1497825377,42904.94167,18.5
176999,1497825378,42904.94167,18.5
177999,1497825379,42904.94167,18.5
179000,1497825380,42904.94167,18.5
179998,1497825381,42904.94167,18.5
181000,1497825382,42904.94167,18.5
181999,1497825383,42904.94167,18.5
183000,1497825384,42904.94167,18.5
183999,1497825385,42904.94167,18.5
184999,1497825386,42904.94167,18.5
185999,1497825387,42904.94167,18.5
186998,1497825388,42904.94167,18.5
188000,1497825389,42904.94167,18.5
188999,1497825390,42904.94167,18.5
190000,1497825391,42904.94167,18.5
190998,1497825392,42904.94167,18.5
192001,1497825393,42904.94167,18.5
192999,1497825394,42904.94167,18.5
193999,1497825395,42904.94167,18.5
194999,1497825396,42904.94167,18.5
195999,1497825397,42904.94167,18.5
196999,1497825398,42904.94167,18.5
197999,1497825399,42904.94167,18.4
198999,1497825400,42904.94167,18.4
199998,1497825401,42904.94167,18.4
200999,1497825402,42904.94167,18.4
202000,1497825403,42904.94167,18.4
202999,1497825404,42904.94167,18.4
203999,1497825405,42904.94167,18.5
205000,1497825406,42904.94167,18.5
205999,1497825407,42904.94167,18.4
206999,1497825408,42904.94167,18.4
207998,1497825409,42904.94167,18.4
208999,1497825410,42904.94167,18.4
209999,1497825411,42904.94167,18.4
211000,1497825412,42904.94167,18.4
211998,1497825413,42904.94167,18.4
213000,1497825414,42904.94167,18.4
213999,1497825415,42904.94167,18.4
214999,1497825416,42904.94167,18.4
215999,1497825417,42904.94167,18.4
216998,1497825418,42904.94167,18.4
217999,1497825419,42904.94167,18.4
218998,1497825420,42904.94236,18.3
219999,1497825421,42904.94236,18.3
220999,1497825422,42904.94236,18.4
221999,1497825423,42904.94236,18.4
222999,1497825424,42904.94236,18.4
224000,1497825425,42904.94236,18.4
224999,1497825426,42904.94236,18.4
225998,1497825427,42904.94236,18.3
226999,1497825428,42904.94236,18.3
227998,1497825429,42904.94236,18.3
228999,1497825430,42904.94236,18.3
229998,1497825431,42904.94236,18.3
230999,1497825432,42904.94236,18.3
231999,1497825433,42904.94236,18.3
232998,1497825434,42904.94236,18.3
233999,1497825435,42904.94236,18.3
234999,1497825436,42904.94236,18.3
235999,1497825437,42904.94236,18.3
236998,1497825438,42904.94236,18.3
237999,1497825439,42904.94236,18.3
238999,1497825440,42904.94236,18.3
239998,1497825441,42904.94236,18.3
