stamp,datetime,humidity,temperature
"1497825202","42904.93984","61.5","19.0"
"1497825203","42904.93985","61.5","19.0"
"1497825204","42904.93986","61.5","19.0"
"1497825205","42904.93987","61.5","19.0"
"1497825206","42904.93988","61.4","19.0"
"1497825207","42904.9399","61.4","19.0"
"1497825208","42904.93991","61.4","19.0"
"1497825209","42904.93992","61.4","19.0"
"1497825210","42904.93993","61.4","19.0"
"1497825211","42904.93994","61.4","19.0"
"1497825212","42904.93995","61.4","19.0"
"1497825213","42904.93997","61.4","19.0"
"1497825214","42904.93998","61.4","19.0"
"1497825215","42904.93999","61.4","19.0"
"1497825216","42904.94","61.4","19.0"
"1497825217","42904.94001","61.4","19.0"
"1497825218","42904.94002","61.5","19.0"
"1497825219","42904.94003","61.5","19.0"
"1497825220","42904.94005","61.5","19.0"
"1497825221","42904.94006","61.5","19.0"
"1497825222","42904.94007","61.6","19.0"
"1497825223","42904.94008","61.6","19.0"
"1497825224","42904.94009","61.6","19.0"
"1497825225","42904.9401","61.6","19.0"
"1497825226","42904.94012","61.6","19.0"
"1497825227","42904.94013","61.6","19.0"
"1497825228","42904.94014","61.8","19.0"
"1497825229","42904.94015","61.8","19.0"
"1497825230","42904.94016","61.7","19.0"
"1497825231","42904.94017","61.7","19.0"
"1497825232","42904.94019","62.6","19.0"
"1497825233","42904.9402","62.6","19.0"
"1497825234","42904.94021","63.5","19.0"
"1497825235","42904.94022","63.5","19.0"
"1497825236","42904.94023","63.5","19.0"
"1497825237","42904.94024","62.9","19.0"
"1497825238","42904.94025","62.9","19.0"
"1497825239","42904.94027","62.4","19.0"
"1497825240","42904.94028","62.4","19.0"
"1497825241","42904.94029","62.3","19.0"
"1497825242","42904.9403","62.3","19.0"
"1497825243","42904.94031","62.3","19.0"
"1497825244","42904.94032","62.1","19.0"
"1497825245","42904.94034","62.1","19.0"
"1497825246","42904.94035","62.0","19.0"
"1497825247","42904.94036","62.0","19.0"
"1497825248","42904.94037","62.0","19.0"
"1497825249","42904.94038","61.9","18.9"
"1497825250","42904.94039","61.9","18.9"
"1497825251","42904.94041","61.9","19.0"
"1497825252","42904.94042","61.9","19.0"
"1497825253","42904.94043","61.9","19.0"
"1497825254","42904.94044","61.9","19.0"
"1497825255","42904.94045","61.9","18.9"
"1497825256","42904.94046","61.9","18.9"
"1497825257","42904.94047","62.0","19.0"
"1497825258","42904.94049","62.0","19.0"
"1497825259","42904.9405","62.0","19.0"
"1497825260","42904.94051","61.9","18.9"
"1497825261","42904.94052","61.9","18.9"
"1497825262","42904.94053","61.9","18.9"
"1497825263","42904.94054","61.9","18.9"
"1497825264","42904.94056","61.9","18.9"
"1497825265","42904.94057","62.0","18.9"
"1497825266","42904.94058","62.0","18.9"
"1497825267","42904.94059","62.0","18.9"
"1497825268","42904.9406","62.0","18.9"
"1497825269","42904.94061","62.1","18.9"
"1497825270","42904.94063","62.1","18.9"
"1497825271","42904.94064","62.1","18.9"
"1497825272","42904.94065","62.1","18.9"
"1497825273","42904.94066","62.1","18.9"
"1497825274","42904.94067","62.1","18.9"
"1497825275","42904.94068","62.1","18.9"
"1497825276","42904.94069","62.1","18.9"
"1497825277","42904.94071","62.1","18.9"
"1497825278","42904.94072","62.1","18.9"
"1497825279","42904.94073","62.1","18.9"
"1497825280","42904.94074","62.1","18.9"
"1497825281","42904.94075","62.1","18.8"
"1497825282","42904.94076","62.1","18.8"
"1497825283","42904.94078","62.1","18.8"
"1497825284","42904.94079","62.1","18.8"
"1497825285","42904.9408","62.1","18.8"
"1497825286","42904.94081","62.1","18.8"
"1497825287","42904.94082","62.1","18.8"
"1497825288","42904.94083","62.1","18.8"
"1497825289","42904.94084","62.1","18.8"
"1497825290","42904.94086","62.1","18.8"
"1497825291","42904.94087","62.1","18.8"
"1497825292","42904.94088","62.1","18.8"
"1497825293","42904.94089","62.1","18.8"
"1497825294","42904.9409","62.2","18.8"
"1497825295","42904.94091","62.2","18.8"
"1497825296","42904.94093","62.2","18.8"
"1497825297","42904.94094","62.2","18.8"
"1497825298","42904.94095","62.2","18.8"
"1497825299","42904.94096","62.2","18.8"
"1497825300","42904.94097","62.2","18.8"
"1497825301","42904.94098","62.1","18.7"
"1497825302","42904.941","62.1","18.7"
"1497825303","42904.94101","62.2","18.7"
"1497825304","42904.94102","62.2","18.7"
"1497825305","42904.94103","62.2","18.7"
"1497825306","42904.94104","62.2","18.7"
"1497825307","42904.94105","62.2","18.7"
"1497825308","42904.94106","62.3","18.7"
"1497825309","42904.94108","62.3","18.7"
"1497825310","42904.94109","62.3","18.7"
"1497825311","42904.9411","62.3","18.7"
"1497825312","42904.94111","62.4","18.7"
"1497825313","42904.94112","62.4","18.7"
"1497825314","42904.94113","62.4","18.7"
"1497825315","42904.94115","62.4","18.7"
"1497825316","42904.94116","62.4","18.7"
"1497825317","42904.94117","62.4","18.7"
"1497825318","42904.94118","62.4","18.7"
"1497825319","42904.94119","62.5","18.7"
"1497825320","42904.9412","62.5","18.7"
"1497825321","42904.94122","62.5","18.7"
"1497825322","42904.94123","62.5","18.7"
"1497825323","42904.94124","62.5","18.6"
"1497825324","42904.94125","62.4","18.6"
"1497825325","42904.94126","62.4","18.6"
"1497825326","42904.94127","62.6","18.7"
"1497825327","42904.94128","62.6","18.7"
"1497825328","42904.9413","62.6","18.7"
"1497825329","42904.94131","62.6","18.7"
"1497825330","42904.94132","62.7","18.7"
"1497825331","42904.94133","62.7","18.7"
"1497825332","42904.94134","62.6","18.6"
"1497825333","42904.94135","62.6","18.6"
"1497825334","42904.94137","62.6","18.6"
"1497825335","42904.94138","62.7","18.6"
"1497825336","42904.94139","62.7","18.6"
"1497825337","42904.9414","62.8","18.6"
"1497825338","42904.94141","62.8","18.6"
"1497825339","42904.94142","62.8","18.6"
"1497825340","42904.94144","62.8","18.6"
"1497825341","42904.94145","62.8","18.6"
"1497825342","42904.94146","62.8","18.6"
"1497825343","42904.94147","62.8","18.6"
"1497825344","42904.94148","62.8","18.6"
"1497825345","42904.94149","62.8","18.6"
"1497825346","42904.9415","62.8","18.6"
"1497825347","42904.94152","62.8","18.6"
"1497825348","42904.94153","62.9","18.6"
"1497825349","42904.94154","62.9","18.6"
"1497825350","42904.94155","62.9","18.6"
"1497825351","42904.94156","62.9","18.6"
"1497825352","42904.94157","62.9","18.6"
"1497825353","42904.94159","62.9","18.6"
"1497825354","42904.9416","62.9","18.6"
"1497825355","42904.94161","62.9","18.6"
"1497825356","42904.94162","62.9","18.6"
"1497825357","42904.94163","62.9","18.6"
"1497825358","42904.94164","62.9","18.6"
"1497825359","42904.94166","63.0","18.6"
"1497825360","42904.94167","63.0","18.6"
"1497825361","42904.94168","63.1","18.6"
"1497825362","42904.94169","63.1","18.6"
"1497825363","42904.9417","63.1","18.5"
"1497825364","42904.94171","63.1","18.5"
"1497825365","42904.94172","63.1","18.5"
"1497825366","42904.94174","63.2","18.5"
"1497825367","42904.94175","63.2","18.5"
"1497825368","42904.94176","63.2","18.5"
"1497825369","42904.94177","63.2","18.5"
"1497825370","42904.94178","63.2","18.5"
"1497825371","42904.94179","63.2","18.5"
"1497825372","42904.94181","63.2","18.5"
"1497825373","42904.94182","63.2","18.5"
"1497825374","42904.94183","63.2","18.5"
"1497825375","42904.94184","63.2","18.5"
"1497825376","42904.94185","63.2","18.5"
"1497825377","42904.94186","63.2","18.5"
"1497825378","42904.94188","63.2","18.5"
"1497825379","42904.94189","63.2","18.5"
"1497825380","42904.9419","63.2","18.5"
"1497825381","42904.94191","63.2","18.5"
"1497825382","42904.94192","63.2","18.5"
"1497825383","42904.94193","63.2","18.5"
"1497825384","42904.94194","63.2","18.5"
"1497825385","42904.94196","63.2","18.5"
"1497825386","42904.94197","63.2","18.5"
"1497825387","42904.94198","63.2","18.5"
"1497825388","42904.94199","63.2","18.5"
"1497825389","42904.942","63.3","18.5"
"1497825390","42904.94201","63.3","18.5"
"1497825391","42904.94203","63.3","18.5"
"1497825392","42904.94204","63.3","18.5"
"1497825393","42904.94205","63.3","18.5"
"1497825394","42904.94206","63.4","18.5"
"1497825395","42904.94207","63.4","18.5"
"1497825396","42904.94208","63.4","18.5"
"1497825397","42904.94209","63.4","18.5"
"1497825398","42904.94211","63.4","18.5"
"1497825399","42904.94212","63.3","18.4"
"1497825400","42904.94213","63.3","18.4"
"1497825401","42904.94214","63.3","18.4"
"1497825402","42904.94215","63.4","18.4"
"1497825403","42904.94216","63.4","18.4"
"1497825404","42904.94218","63.4","18.4"
"1497825405","42904.94219","63.5","18.5"
"1497825406","42904.9422","63.5","18.5"
"1497825407","42904.94221","63.4","18.4"
"1497825408","42904.94222","63.4","18.4"
"1497825409","42904.94223","63.4","18.4"
"1497825410","42904.94225","63.4","18.4"
"1497825411","42904.94226","63.5","18.4"
"1497825412","42904.94227","63.5","18.4"
"1497825413","42904.94228","63.5","18.4"
"1497825414","42904.94229","63.5","18.4"
"1497825415","42904.9423","63.5","18.4"
"1497825416","42904.94231","63.7","18.4"
"1497825417","42904.94233","63.7","18.4"
"1497825418","42904.94234","63.8","18.4"
"1497825419","42904.94235","63.8","18.4"
"1497825420","42904.94236","63.7","18.3"
"1497825421","42904.94237","63.7","18.3"
"1497825422","42904.94238","63.8","18.4"
"1497825423","42904.9424","63.8","18.4"
"1497825424","42904.94241","63.8","18.4"
"1497825425","42904.94242","63.8","18.4"
"1497825426","42904.94243","63.8","18.4"
"1497825427","42904.94244","63.8","18.3"
"1497825428","42904.94245","63.8","18.3"
"1497825429","42904.94247","63.8","18.3"
"1497825430","42904.94248","63.8","18.3"
"1497825431","42904.94249","63.8","18.3"
"1497825432","42904.9425","63.8","18.3"
"1497825433","42904.94251","63.8","18.3"
"1497825434","42904.94252","63.8","18.3"
"1497825435","42904.94253","63.8","18.3"
"1497825436","42904.94255","63.7","18.3"
"1497825437","42904.94256","63.7","18.3"
"1497825438","42904.94257","63.7","18.3"
"1497825439","42904.94258","63.7","18.3"
"1497825440","42904.94259","63.7","18.3"
"1497825441","42904.9426","63.7","18.3"
"1497825442","42904.94262","63.8","18.3"
"1497825443","42904.94263","63.8","18.3"
"1497825444","42904.94264","63.8","18.3"
"1497825445","42904.94265","63.8","18.3"
"1497825446","42904.94266","63.8","18.3"
"1497825447","42904.94267","63.8","18.3"
"1497825448","42904.94269","63.8","18.3"
"1497825449","42904.9427","63.8","18.2"
"1497825450","42904.94271","63.8","18.2"
"1497825451","42904.94272","63.8","18.2"
"1497825452","42904.94273","63.8","18.2"
"1497825453","42904.94274","63.8","18.2"
"1497825454","42904.94275","63.9","18.2"
"1497825455","42904.94277","63.9","18.2"
"1497825456","42904.94278","64.0","18.2"
"1497825457","42904.94279","64.0","18.2"
"1497825458","42904.9428","64.1","18.3"
"1497825459","42904.94281","64.1","18.3"
"1497825460","42904.94282","64.1","18.3"
"1497825461","42904.94284","64.1","18.2"
"1497825462","42904.94285","64.1","18.2"
"1497825463","42904.94286","64.2","18.3"
"1497825464","42904.94287","64.2","18.3"
"1497825465","42904.94288","64.2","18.2"
"1497825466","42904.94289","64.2","18.2"
"1497825467","42904.94291","64.2","18.2"
"1497825468","42904.94292","64.2","18.2"
"1497825469","42904.94293","64.2","18.2"
"1497825470","42904.94294","64.2","18.2"
"1497825471","42904.94295","64.2","18.2"
"1497825472","42904.94296","64.2","18.2"
"1497825473","42904.94297","64.2","18.2"
"1497825474","42904.94299","64.2","18.2"
"1497825475","42904.943","64.2","18.2"
"1497825476","42904.94301","64.2","18.2"
"1497825477","42904.94302","64.2","18.2"
"1497825478","42904.94303","64.2","18.2"
"1497825479","42904.94304","64.2","18.2"
"1497825480","42904.94306","64.2","18.2"
"1497825481","42904.94307","64.2","18.2"
"1497825482","42904.94308","64.2","18.2"
"1497825483","42904.94309","64.2","18.2"
"1497825484","42904.9431","64.2","18.2"
"1497825485","42904.94311","64.2","18.2"
"1497825486","42904.94313","64.2","18.2"
"1497825487","42904.94314","64.2","18.2"
"1497825488","42904.94315","64.3","18.2"
"1497825489","42904.94316","64.3","18.2"
"1497825490","42904.94317","64.3","18.2"
"1497825491","42904.94318","64.3","18.2"
"1497825492","42904.94319","64.3","18.2"
"1497825493","42904.94321","64.3","18.2"
"1497825494","42904.94322","64.3","18.2"
"1497825495","42904.94323","64.4","18.2"
"1497825496","42904.94324","64.4","18.2"
"1497825497","42904.94325","64.4","18.2"
"1497825498","42904.94326","64.4","18.2"
"1497825499","42904.94328","64.5","18.2"
"1497825500","42904.94329","64.5","18.2"
"1497825501","42904.9433","64.5","18.2"
"1497825502","42904.94331","64.5","18.2"
"1497825503","42904.94332","64.5","18.2"
"1497825504","42904.94333","64.5","18.2"
"1497825505","42904.94334","64.5","18.2"
"1497825506","42904.94336","64.5","18.2"
"1497825507","42904.94337","64.5","18.2"
"1497825508","42904.94338","64.5","18.2"
"1497825509","42904.94339","64.5","18.2"
"1497825510","42904.9434","64.5","18.2"
"1497825511","42904.94341","64.5","18.2"
"1497825512","42904.94343","64.6","18.2"
"1497825513","42904.94344","64.6","18.2"
"1497825514","42904.94345","64.6","18.2"
"1497825515","42904.94346","64.6","18.2"
"1497825516","42904.94347","64.6","18.2"
"1497825517","42904.94348","64.7","18.2"
"1497825518","42904.9435","64.7","18.2"
"1497825519","42904.94351","64.7","18.2"
"1497825520","42904.94352","64.7","18.2"
"1497825521","42904.94353","64.7","18.2"
"1497825522","42904.94354","64.7","18.2"
"1497825523","42904.94355","64.7","18.2"
"1497825524","42904.94356","64.7","18.2"
"1497825525","42904.94358","64.7","18.2"
"1497825526","42904.94359","64.6","18.2"
"1497825527","42904.9436","64.6","18.2"
"1497825528","42904.94361","64.6","18.2"
"1497825529","42904.94362","64.6","18.3"
"1497825530","42904.94363","64.6","18.3"
"1497825531","42904.94365","64.5","18.2"
"1497825532","42904.94366","64.5","18.2"
"1497825533","42904.94367","64.5","18.2"
"1497825534","42904.94368","64.4","18.2"
"1497825535","42904.94369","64.4","18.2"
"1497825536","42904.9437","64.5","18.3"
"1497825537","42904.94372","64.5","18.3"
"1497825538","42904.94373","64.5","18.3"
"1497825539","42904.94374","64.4","18.3"
"1497825540","42904.94375","64.4","18.3"
"1497825541","42904.94376","64.4","18.3"
"1497825542","42904.94377","64.3","18.3"
"1497825543","42904.94378","64.3","18.3"
"1497825544","42904.9438","64.3","18.3"
"1497825545","42904.94381","64.3","18.3"
"1497825546","42904.94382","64.2","18.3"
"1497825547","42904.94383","64.2","18.3"
"1497825548","42904.94384","64.2","18.3"
"1497825549","42904.94385","64.2","18.3"
"1497825550","42904.94387","64.2","18.3"
"1497825551","42904.94388","64.2","18.3"
"1497825552","42904.94389","64.2","18.3"
"1497825553","42904.9439","64.2","18.3"
"1497825554","42904.94391","64.1","18.3"
"1497825555","42904.94392","64.1","18.3"
"1497825556","42904.94394","64.1","18.3"
"1497825557","42904.94395","64.1","18.3"
"1497825558","42904.94396","64.1","18.3"
"1497825559","42904.94397","64.1","18.3"
"1497825560","42904.94398","64.1","18.3"
"1497825561","42904.94399","64.0","18.3"
"1497825562","42904.944","64.0","18.3"
"1497825563","42904.94402","64.0","18.3"
"1497825564","42904.94403","64.0","18.3"
"1497825565","42904.94404","64.0","18.3"
"1497825566","42904.94405","64.0","18.3"
"1497825567","42904.94406","63.9","18.3"
"1497825568","42904.94407","63.9","18.3"
"1497825569","42904.94409","64.0","18.3"
"1497825570","42904.9441","64.0","18.3"
"1497825571","42904.94411","64.0","18.3"
"1497825572","42904.94412","64.0","18.3"
